Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,NH3,PM 2.5,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Adilabad Rural,21-11-2022,-0.451178377,13.83592166,,47.8756332,97.94492204,-0.000371079,5.049786454,10.95447143,29.57959811,63.13993379,41.34789532,20.7647814,-64.07109211,-11.75349612,-0.274390647,-55.22175664,-0.542163406,0.254448622,0.067020572,
Adilabad Rural,22-11-2022,-1.836012151,11.7853446,,47.52789084,95.73576235,-0.000372909,7.45561634,10.95213829,29.58066128,63.14230888,41.34925535,20.76809886,-67.43563505,-8.224608915,-0.273144678,-57.16255753,2.212620331,0.004734615,0.067020627,
Adilabad Rural,23-11-2022,5.486235521,11.2618231,,38.84956905,93.67927104,-0.000374467,7.410533329,10.94970313,29.58169515,63.146454,41.3508359,20.77194072,-73.89044733,-3.930114329,-0.521973988,-61.36026782,4.717676294,0.005040867,0.067020585,
Adilabad Rural,24-11-2022,-1.882013578,10.28715332,,43.98103445,93.32407114,0.074622214,7.018377361,10.94692804,29.58278423,63.15222923,41.35328219,20.77526085,-72.06810808,-6.888528154,-0.520939789,-59.0617032,1.974241607,0.25533987,0.067020242,
Adilabad Rural,25-11-2022,-1.908259049,9.360976366,,37.09102988,95.00573381,0.049619036,7.603215744,10.9438886,29.58408045,63.15828271,41.35490991,20.77796771,-59.86577317,-8.111802428,-0.269958095,-45.63184792,0.97939626,0.255721315,0.067020065,
Adilabad Rural,26-11-2022,-1.876474288,10.18562629,,40.10897591,93.53716406,0.324616813,5.406579243,10.94111008,29.58494103,63.16808979,41.35508893,20.78162409,-63.76797234,-5.099549388,-0.268981559,-47.73801648,3.735750344,0.256156557,0.067019842,
Adilabad Rural,27-11-2022,-1.820350868,10.26072032,,41.26130097,89.06447384,-0.000384539,7.369105571,10.9380583,29.58587848,63.178567,41.35427328,20.78520538,-62.04397821,-5.837467043,-0.268111036,-45.1045075,3.4909657,0.256538736,0.067020063,
Adilabad Rural,28-11-2022,-1.758511423,9.911269418,,36.13943688,91.80780623,-0.000384172,4.867190689,10.9351905,29.58614518,63.18793145,41.35540334,20.78879768,-65.53245926,-6.56787906,-0.267312829,-47.84985038,2.996313311,0.006962637,0.067021133,
Adilabad Rural,29-11-2022,-1.700496022,10.36070532,,37.34396156,92.35887374,0.049612202,7.597516558,10.93249755,29.58564655,63.1998049,41.35460704,20.79340368,-83.29955538,-0.297236673,-0.51654643,-60.38738613,4.001811753,0.007395657,0.067023532,
Adilabad Rural,30-11-2022,-1.650571282,10.36088585,,36.36997517,93.42555422,-0.000385519,6.43343756,11.10564737,29.85962444,62.7131366,39.60643498,20.79781895,-110.4260527,-11.03295579,-0.515591902,-91.53911277,-1.495053643,0.007773745,0.067027817,
Adilabad Rural,01-12-2022,-1.610306927,10.13612577,,38.22541677,94.53288463,-0.000386916,9.464131037,10.22764962,29.43279445,65.97420129,44.85463207,21.55198689,-79.97992187,-9.532115847,-0.514492173,-64.03671152,3.507194469,0.008140677,0.317022835,
Adilabad Rural,02-12-2022,-1.579279001,9.337979334,,37.65164266,96.97858851,-0.000388991,8.672848285,10.22557115,29.43054204,65.98067992,44.85389988,21.55516236,-87.01757679,-9.294288284,-0.513477065,-69.68703634,3.507861632,0.008486393,0.317024187,
Adilabad Rural,03-12-2022,-1.55633043,9.389099294,,43.35882358,97.53783045,0.199608964,7.398719064,10.22293422,29.42811285,65.99120349,44.85158502,21.5585706,-76.60560448,-8.562660612,-0.51258239,-57.4760648,3.508815399,0.258776394,0.067031638,
